date,average_temp,average_wind,precipitation
2021-06-20,74.48,30,0
2021-06-21,69.98,40,0
2021-06-22,69.44,36,41
2021-06-23,61.7,30,0
2021-06-24,61.16,25,0
2021-06-25,60.08,24,0
2021-06-26,66.74000000000001,38,0
2021-06-27,75.38,40,0
2021-06-28,83.66,38,0
2021-06-29,85.46000000000001,37,0
2021-06-30,82.03999999999999,37,48
2021-07-01,73.94,22,69
2021-07-02,60.26,49,163
2021-07-03,56.66,39,137
2021-07-04,56.84,30,137
2021-07-05,59.72,30,0
2021-07-06,71.24000000000001,32,5
2021-07-07,74.66,26,0
2021-07-08,65.12,35,69
2021-07-09,60.980000000000004,30,592
2021-07-10,67.28,18,0
2021-07-11,66.2,22,0
2021-07-12,68.36,15,25
2021-07-13,64.4,21,18
2021-07-14,64.4,17,5
2021-07-15,69.08000000000001,18,0
2021-07-16,75.02,28,0
2021-07-17,72.86,17,0
2021-07-18,65.84,27,297
2021-07-19,66.92,19,0
2021-07-20,70.7,12,224
2021-07-21,70.88,33,102
2021-07-22,68.53999999999999,30,0
2021-07-23,67.46000000000001,24,41
2021-07-24,65.12,22,0
2021-07-25,65.12,26,51
2021-07-26,70.16,18,0
2021-07-27,72.86,26,46
2021-07-28,66.56,24,3
2021-07-29,62.42,35,386
2021-07-30,66.56,43,30
2021-07-31,63.14,26,0
2021-08-01,64.22,26,0
2021-08-02,67.64,34,0
2021-08-03,65.84,27,0
2021-08-04,67.46000000000001,18,0
2021-08-05,64.75999999999999,28,142
2021-08-06,70.88,22,0
2021-08-07,72.68,21,0
2021-08-08,74.66,23,0
2021-08-09,65.30000000000001,34,0
2021-08-10,65.48,17,0
2021-08-11,71.42,19,0
2021-08-12,76.64,17,0
2021-08-13,80.42,21,0
2021-08-14,78.08000000000001,22,0
2021-08-15,69.62,28,0
2021-08-16,66.38,20,0
2021-08-17,67.28,16,0
2021-08-18,73.22,28,0
2021-08-19,73.58000000000001,23,241
2021-08-20,74.30000000000001,26,0
2021-08-21,71.24000000000001,26,0
2021-08-22,65.66,50,145
2021-08-23,65.12,27,0
2021-08-24,72.68,17,23
2021-08-25,76.82,17,0
2021-08-26,77.36,19,0
2021-08-27,77.72,27,0
2021-08-28,64.75999999999999,22,0
2021-08-29,64.22,20,0
2021-08-30,70.7,35,5
2021-08-31,71.06,27,0
2021-09-01,67.28,26,69
2021-09-02,62.6,49,389
2021-09-03,63.31999999999999,43,0
2021-09-04,65.48,29,0
2021-09-05,59.36,28,30
2021-09-06,67.28,28,64
2021-09-07,65.12,28,0
2021-09-08,65.12,38,0
2021-09-09,67.82,29,163
2021-09-10,66.92,36,97
2021-09-11,61.34,30,0
2021-09-12,67.46000000000001,41,0
2021-09-13,69.25999999999999,17,3
2021-09-14,60.620000000000005,29,0
2021-09-15,67.46000000000001,40,43
2021-09-16,66.02,24,8
2021-09-17,60.26,17,0
2021-09-18,64.58000000000001,13,43
2021-09-19,63.68000000000001,31,0
2021-09-20,57.74,20,0
2021-09-21,58.64,17,0
2021-09-22,65.48,33,0
2021-09-23,68.18,40,0
2021-09-24,69.25999999999999,55,51
2021-09-25,65.66,19,3
2021-09-26,64.22,29,119
2021-09-27,59.540000000000006,29,0
2021-09-28,61.88,22,0
2021-09-29,56.66,36,0
2021-09-30,53.24,33,8
2021-10-01,50.72,19,0
2021-10-02,52.519999999999996,14,3
2021-10-03,55.22,24,8
2021-10-04,54.68,22,13
2021-10-05,56.3,16,0
2021-10-06,58.1,9,0
2021-10-07,58.46,9,0
2021-10-08,56.84,36,0
2021-10-09,53.96,26,0
2021-10-10,52.34,11,0
2021-10-11,58.1,13,0
2021-10-12,59.72,11,0
2021-10-13,61.16,18,0
2021-10-14,61.88,17,0
2021-10-15,60.26,25,0
2021-10-16,62.96,47,305
2021-10-17,59.18,30,69
2021-10-18,49.28,32,0
2021-10-19,47.480000000000004,35,0
2021-10-20,51.08,20,0
2021-10-21,54.32,13,3
2021-10-22,59.18,25,3
2021-10-23,50.18,24,0
2021-10-24,44.6,24,0
2021-10-25,44.06,31,53
2021-10-26,46.22,65,254
2021-10-27,48.019999999999996,82,56
2021-10-28,46.94,39,0
2021-10-29,42.620000000000005,24,0
2021-10-30,47.66,58,706
2021-10-31,57.019999999999996,53,353
2021-11-01,54.32,45,0
2021-11-02,46.58,22,0
2021-11-03,42.26,25,0
2021-11-04,36.68,13,0
2021-11-05,37.76,26,0
2021-11-06,36.32,20,0
2021-11-07,38.480000000000004,13,0
2021-11-08,42.08,14,0
2021-11-09,45.14,9,0
2021-11-10,48.92,30,13
2021-11-11,41.18,19,0
2021-11-12,49.82,56,361
2021-11-13,48.019999999999996,26,89
2021-11-14,43.34,33,0
2021-11-15,42.08,35,36
2021-11-16,38.480000000000004,47,0
2021-11-17,32.72,17,0
2021-11-18,50.900000000000006,33,10
2021-11-19,45.32,46,64
2021-11-20,35.78,22,0
2021-11-21,39.74,18,81
2021-11-22,48.379999999999995,37,132
2021-11-23,33.26,56,0
2021-11-24,31.46,58,0
2021-11-25,35.42,10,0
2021-11-26,40.46,24,58
2021-11-27,33.98,50,33
2021-11-28,28.58,16,0
2021-11-29,32.36,41,0
2021-11-30,27.32,25,0
2021-12-01,35.42,29,0
2021-12-02,38.12,28,71
2021-12-03,39.2,55,0
2021-12-04,26.6,15,0
2021-12-05,31.46,23,0
2021-12-06,41.18,47,114
2021-12-07,41.36,42,0
2021-12-08,26.96,44,10
2021-12-09,23.9,35,0
2021-12-10,22.82,23,5
2021-12-11,30.02,26,170
2021-12-12,44.24,62,25
2021-12-13,38.84,34,0
2021-12-14,40.28,37,0
2021-12-15,30.56,17,43
2021-12-16,40.46,12,107
2021-12-17,48.2,47,0
2021-12-18,34.52,26,94
2021-12-19,27.86,51,61
2021-12-20,19.939999999999998,20,0
2021-12-21,30.2,30,0
2021-12-22,29.66,34,91
2021-12-23,25.88,47,0
2021-12-24,19.759999999999998,19,0
2021-12-25,22.64,23,79
2021-12-26,29.66,33,41
2021-12-27,30.38,22,0
2021-12-28,30.38,20,23
2021-12-29,33.44,15,5
2021-12-30,32.54,21,13
2021-12-31,34.16,8,3
2022-01-01,35.96,12,18
2022-01-02,36.14,30,18
2022-01-03,23.54,43,0
2022-01-04,17.78,25,0
2022-01-05,29.66,23,53
2022-01-06,35.78,37,0
2022-01-07,28.4,54,102
2022-01-08,20.479999999999997,29,0
2022-01-09,25.52,53,5
2022-01-10,28.759999999999998,56,0
2022-01-11,8.959999999999997,41,0
2022-01-12,12.02,29,0
2022-01-13,28.22,12,0
2022-01-14,30.92,64,0
2022-01-15,8.599999999999998,73,0
2022-01-16,6.620000000000001,16,0
2022-01-17,31.46,71,264
2022-01-18,29.12,64,0
2022-01-19,18.68,23,0
2022-01-20,32.54,50,0
2022-01-21,11.659999999999997,36,0
2022-01-22,9.68,20,0
2022-01-23,17.96,22,0
2022-01-24,21.92,22,5
2022-01-25,24.62,26,10
2022-01-26,18.68,35,0
2022-01-27,8.240000000000002,25,0
2022-01-28,23.9,24,0
2022-01-29,16.52,93,218
2022-01-30,13.459999999999997,37,0
2022-01-31,9.5,13,0
2022-02-01,13.279999999999998,35,0
2022-02-02,30.92,21,0
2022-02-03,38.84,25,119
2022-02-04,26.96,60,404
2022-02-05,17.6,54,0
2022-02-06,11.659999999999997,15,0
2022-02-07,21.2,13,71
2022-02-08,34.7,36,99
2022-02-09,33.98,26,0
2022-02-10,35.6,28,5
2022-02-11,37.22,40,0
2022-02-12,44.78,42,0
2022-02-13,29.12,39,3
2022-02-14,17.240000000000002,54,0
2022-02-15,13.279999999999998,26,0
2022-02-16,20.66,43,0
2022-02-17,44.78,51,0
2022-02-18,44.24,69,20
2022-02-19,21.740000000000002,46,3
2022-02-20,20.299999999999997,43,0
2022-02-21,36.5,34,0
2022-02-22,34.16,38,163
2022-02-23,51.08,69,3
2022-02-24,24.62,37,0
2022-02-25,17.96,55,119
2022-02-26,14.0,22,0
2022-02-27,25.7,55,0
2022-02-28,18.86,38,0
2022-03-01,16.52,23,53
2022-03-02,30.92,30,0
2022-03-03,27.86,56,23
2022-03-04,16.340000000000003,24,0
2022-03-05,25.52,25,0
2022-03-06,39.2,33,10
2022-03-07,48.379999999999995,28,107
2022-03-08,37.4,65,0
2022-03-09,29.66,17,15
2022-03-10,34.88,17,0
2022-03-11,36.68,26,0
2022-03-12,37.94,53,107
2022-03-13,25.88,62,0
2022-03-14,32.36,36,0
2022-03-15,39.92,17,51
2022-03-16,38.480000000000004,26,10
2022-03-17,41.72,25,0
2022-03-18,46.94,19,0
2022-03-19,44.6,46,152
2022-03-20,40.82,20,3
2022-03-21,44.42,76,0
2022-03-22,37.58,66,0
2022-03-23,36.68,30,0
2022-03-24,37.76,46,97
2022-03-25,39.019999999999996,40,97
2022-03-26,46.22,34,0
2022-03-27,40.46,35,15
2022-03-28,28.759999999999998,53,0
2022-03-29,24.08,47,0
2022-03-30,33.8,45,0
2022-03-31,41.54,26,38
2022-04-01,48.379999999999995,35,84
2022-04-02,41.54,55,0
2022-04-03,37.4,22,0
2022-04-04,44.06,56,0
2022-04-05,44.42,30,0
